id,code,name,includes_iva,includes_ieps,border_incentive,alternative_names
c_clave_prod_serv_10101601,10101601,Pollos vivos,Opcional,Opcional,1,"Gallinas, Gallinas de guinea, Gallos, Pintadas, Pollitos"
c_clave_prod_serv_10101602,10101602,Patos vivos,Opcional,Opcional,1,
c_clave_prod_serv_10101603,10101603,Pavos vivos,Opcional,Opcional,1,"Gallipavos, Guajolotes, Pavos salvajes"
c_clave_prod_serv_10101604,10101604,Gansos vivos,Opcional,Opcional,1,
c_clave_prod_serv_10101605,10101605,Faisanes vivos,Opcional,Opcional,1,
c_clave_prod_serv_10101700,10101700,Peces vivos,Opcional,Opcional,1,
c_clave_prod_serv_10101701,10101701,Salmones vivos,Opcional,Opcional,1,
c_clave_prod_serv_10101702,10101702,Trucha viva,Opcional,Opcional,1,
c_clave_prod_serv_10101703,10101703,Tilapia viva,Opcional,Opcional,1,Mojarra
c_clave_prod_serv_10101704,10101704,Carpa viva,Opcional,Opcional,1,
c_clave_prod_serv_10101705,10101705,Anguilas vivas,Opcional,Opcional,1,
c_clave_prod_serv_10101800,10101800,Mariscos e invertebrados acuáticos vivos,Opcional,Opcional,1,
c_clave_prod_serv_10101801,10101801,Camarón vivo,Opcional,Opcional,1,Esquilas
c_clave_prod_serv_10101802,10101802,Almejas vivas,Opcional,Opcional,1,
c_clave_prod_serv_10101803,10101803,Mejillones vivos,Opcional,Opcional,1,
c_clave_prod_serv_10101804,10101804,Ostras vivas,Opcional,Opcional,1,
c_clave_prod_serv_10101805,10101805,Cangrejos vivos,Opcional,Opcional,1,
c_clave_prod_serv_10101806,10101806,Abulones vivos,Opcional,Opcional,1,Orejas de mar
c_clave_prod_serv_10101807,10101807,Pulpo vivo,Opcional,Opcional,1,Octópodo
c_clave_prod_serv_10101808,10101808,Calamar vivo,Opcional,Opcional,1,
c_clave_prod_serv_10101809,10101809,Sanguijuelas,Opcional,Opcional,1,"Hirudineas, Hirudos, Hirudíneo"
c_clave_prod_serv_10101900,10101900,Insectos vivos,Opcional,Opcional,1,
c_clave_prod_serv_10101901,10101901,Mariposas,Opcional,Opcional,1,
c_clave_prod_serv_10101902,10101902,Escarabajos,Opcional,Opcional,1,"Mariquitas, Sanjuaneros"
c_clave_prod_serv_10101903,10101903,Abejas,Opcional,Opcional,1,
c_clave_prod_serv_10101904,10101904,Gusanos de seda,Opcional,Opcional,1,"Crisálida, Larva, Oruga"
c_clave_prod_serv_10102000,10102000,Animales salvajes vivos,Opcional,Opcional,1,
c_clave_prod_serv_10102001,10102001,Elefantes,Opcional,Opcional,1,Paquidermos
c_clave_prod_serv_10102002,10102002,Zorros vivos,Opcional,Opcional,1,Zorras
c_clave_prod_serv_10102100,10102100,Huevos de aves para incubar,Opcional,Opcional,1,
c_clave_prod_serv_10111300,10111300,"Accesorios, equipo y tratamientos para los animales domésticos",Opcional,Opcional,1,"Accesorios, equipo y medicamentos para animales domésticos"
c_clave_prod_serv_10111301,10111301,Juguetes para mascotas,Opcional,Opcional,1,
c_clave_prod_serv_10111302,10111302,Productos para el aseo y cuidado de mascotas,Opcional,Opcional,1,
c_clave_prod_serv_10111303,10111303,Equipo para el manejo de desperdicios de las mascotas,Opcional,Opcional,1,
c_clave_prod_serv_10111304,10111304,Tazones o equipo para alimentación de mascotas,Opcional,Opcional,1,
c_clave_prod_serv_10111305,10111305,Tratamientos medicados para mascotas,Opcional,Opcional,1,Tratamientos medicinales para mascotas
c_clave_prod_serv_10111306,10111306,Kits para el entrenamiento de mascotas domésticas,Opcional,Opcional,1,
c_clave_prod_serv_10111307,10111307,Cobijas para mascotas,Opcional,Opcional,1,"Mantas para mascotas, Sábanas para mascotas"
c_clave_prod_serv_10121500,10121500,Pienso para ganado,Opcional,Opcional,1,Alimento para ganado
c_clave_prod_serv_10121501,10121501,Salvado de trigo puro,Opcional,Opcional,1,
c_clave_prod_serv_10121502,10121502,Avena para forraje,Opcional,Opcional,1,
c_clave_prod_serv_10121503,10121503,Maíz para forraje,Opcional,Opcional,1,
c_clave_prod_serv_10121504,10121504,Sorgo para forraje,Opcional,Opcional,1,
c_clave_prod_serv_10121505,10121505,Heno,Opcional,Opcional,1,
c_clave_prod_serv_10121506,10121506,Tortas oleaginosas,Opcional,Opcional,1,Torta de aceite para ganado
c_clave_prod_serv_10121507,10121507,Forraje compuesto,Opcional,Opcional,1,
c_clave_prod_serv_10121600,10121600,Alimento para pájaros y aves de corral,Opcional,Opcional,1,
c_clave_prod_serv_10121601,10121601,Alimento vivo para aves,Opcional,Opcional,1,
c_clave_prod_serv_10121602,10121602,Alpiste,Opcional,Opcional,1,
c_clave_prod_serv_10121603,10121603,Botanas o comida recreacional para aves,Opcional,Opcional,1,
c_clave_prod_serv_10121604,10121604,Alimento avícola,Opcional,Opcional,1,
c_clave_prod_serv_10121700,10121700,Alimento para peces,Opcional,Opcional,1,
c_clave_prod_serv_10121701,10121701,Salmuera fresca o congelada,Opcional,Opcional,1,
c_clave_prod_serv_10121702,10121702,Alimento granulado para peces,Opcional,Opcional,1,
c_clave_prod_serv_10121703,10121703,Alimento en hojuelas para peces,Opcional,Opcional,1,
c_clave_prod_serv_10121800,10121800,Alimento para perros y gatos,Opcional,Opcional,1,
c_clave_prod_serv_10121801,10121801,Comida seca para perros,Opcional,Opcional,1,
c_clave_prod_serv_10121802,10121802,Comida húmeda para perros,Opcional,Opcional,1,
c_clave_prod_serv_10121803,10121803,Leche para perros o gatos,Opcional,Opcional,1,
c_clave_prod_serv_10121804,10121804,Comida seca para gatos,Opcional,Opcional,1,
c_clave_prod_serv_10121805,10121805,Comida húmeda para gatos,Opcional,Opcional,1,
c_clave_prod_serv_10121806,10121806,Botanas o comida recreacional para gatos o perros,Opcional,Opcional,1,
c_clave_prod_serv_10121900,10121900,Alimento para roedores,Opcional,Opcional,1,
c_clave_prod_serv_10121901,10121901,Comida granulada para roedores,Opcional,Opcional,1,
c_clave_prod_serv_10122000,10122000,Alimento para reptiles,Opcional,Opcional,1,
c_clave_prod_serv_10122001,10122001,Comida granulada para reptiles,Opcional,Opcional,1,
c_clave_prod_serv_10122002,10122002,Comida húmeda para reptiles,Opcional,Opcional,1,
c_clave_prod_serv_10122003,10122003,Comida viva para reptiles,Opcional,Opcional,1,
c_clave_prod_serv_10122100,10122100,Comida para animales variados,Opcional,Opcional,1,Comida para diversos animales
c_clave_prod_serv_10122101,10122101,Comida para cerdos,Opcional,Opcional,1,"Comida para chanchos, Comida para cochinillos, Comida para cochinos, Comida para cuche, Comida para cuinos, Comida para gorrinos, Comida para lechones, Comida para marranos, Comida para porcinos, Comida para puercos, Comida para lechones"
c_clave_prod_serv_10122102,10122102,Comida para visones,Opcional,Opcional,1,
c_clave_prod_serv_10122103,10122103,Comida para monos,Opcional,Opcional,1,
c_clave_prod_serv_10122104,10122104,Comida para conejos,Opcional,Opcional,1,
c_clave_prod_serv_10131500,10131500,Cobertizos para animales,Opcional,Opcional,1,
c_clave_prod_serv_10131506,10131506,Establos para ganado,Opcional,Opcional,1,
c_clave_prod_serv_10131507,10131507,Casas para mascotas domesticadas,Opcional,Opcional,1,
c_clave_prod_serv_10131508,10131508,Camas para mascotas,Opcional,Opcional,1,
c_clave_prod_serv_10131600,10131600,Recipientes para animales,Opcional,Opcional,1,Contenedores de comida para animales
c_clave_prod_serv_10131601,10131601,Jaulas o sus accesorios,Opcional,Opcional,1,
c_clave_prod_serv_10131602,10131602,Perreras,Opcional,Opcional,1,
c_clave_prod_serv_10131603,10131603,Equipaje para el transporte de animales,Opcional,Opcional,1,
c_clave_prod_serv_10131604,10131604,Correas para perros,Opcional,Opcional,1,
c_clave_prod_serv_10131700,10131700,Hábitat para animales,Opcional,Opcional,1,Ambientes para animales
c_clave_prod_serv_10131701,10131701,Terrarios,Opcional,Opcional,1,
c_clave_prod_serv_10131702,10131702,Acuarios,Opcional,Opcional,1,
c_clave_prod_serv_10141500,10141500,Talabartería,Opcional,Opcional,1,Guarniciones para caballerías
c_clave_prod_serv_10141501,10141501,Sillas de montar,Opcional,Opcional,1,
c_clave_prod_serv_10141502,10141502,Fustas y látigos,Opcional,Opcional,1,
c_clave_prod_serv_10141503,10141503,Herraduras para caballo,Opcional,Opcional,1,
c_clave_prod_serv_10141504,10141504,Herraduras para mula,Opcional,Opcional,1,
c_clave_prod_serv_10141505,10141505,Sillín o pelero,Opcional,Opcional,1,
c_clave_prod_serv_10141600,10141600,Arneses,Opcional,Opcional,1,
c_clave_prod_serv_10141601,10141601,Bridas,Opcional,Opcional,1,Correas para caballos
c_clave_prod_serv_10141602,10141602,Yugos,Opcional,Opcional,1,
c_clave_prod_serv_10141603,10141603,Bocados para caballos,Opcional,Opcional,1,Embocaduras para caballo
c_clave_prod_serv_10141604,10141604,Riendas,Opcional,Opcional,1,Correas
c_clave_prod_serv_10141605,10141605,Estribos,Opcional,Opcional,1,
c_clave_prod_serv_10141606,10141606,Correas o traíllas,Opcional,Opcional,1,
c_clave_prod_serv_10141607,10141607,Arneses de cuello para animales,Opcional,Opcional,1,
c_clave_prod_serv_10141608,10141608,Arneses o sus accesorios,Opcional,Opcional,1,
c_clave_prod_serv_10141609,10141609,Sujetadores,Opcional,Opcional,1,
c_clave_prod_serv_10141610,10141610,Bozales,Opcional,Opcional,1,
c_clave_prod_serv_10141611,10141611,Soportes para correas,Opcional,Opcional,1,
c_clave_prod_serv_10151500,10151500,Semillas y plántulas vegetales,Opcional,Opcional,1,Semillas y vástagos vegetales
c_clave_prod_serv_10151501,10151501,Semillas o plántulas de fríjol,Opcional,Opcional,1,"Semillas o vástago primario de fríjol, Semillas o vástago primario de fríjol blanco, Semillas o vástago primario de fríjol negro, Semillas o vástago primario de fríjol rojo adzuki"
c_clave_prod_serv_10151502,10151502,Semillas o plántulas de zanahoria,Opcional,Opcional,1,Semillas o vástago primario de zanahoria
c_clave_prod_serv_10151503,10151503,Semillas o plántulas de apio,Opcional,Opcional,1,Semillas o vástago primario de apio
c_clave_prod_serv_10151504,10151504,Semillas o plántulas de chiles,Opcional,Opcional,1,Semillas o vástago primario de chiles
c_clave_prod_serv_10151505,10151505,Semillas o plántulas de calabacín,Opcional,Opcional,1,Semillas o vástago primario de calabacín
c_clave_prod_serv_10151506,10151506,Semillas o plántulas de alverja,Opcional,Opcional,1,"Semillas o vástago primario de chícharo, Semillas o vástago primario de guisante"
c_clave_prod_serv_10151507,10151507,Semillas o plántulas de pepino cohombro,Opcional,Opcional,1,Semillas o vástago primario de pepino cohombro
c_clave_prod_serv_10151508,10151508,Semillas o plántulas de berenjena,Opcional,Opcional,1,Semillas o vástago primario de berenjena
c_clave_prod_serv_10151509,10151509,Semillas o plántulas de endivias,Opcional,Opcional,1,Semillas o vástago primario de endivias
c_clave_prod_serv_10151510,10151510,Semillas o plántulas de ajo,Opcional,Opcional,1,Semillas o vástago primario de ajo
c_clave_prod_serv_10151511,10151511,Semillas o plántulas de puerro,Opcional,Opcional,1,Semillas o vástago primario de puerro
c_clave_prod_serv_10151512,10151512,Semillas o plántulas de lechuga,Opcional,Opcional,1,Semillas o vástago primario de lechuga
c_clave_prod_serv_10151513,10151513,Semillas o plántulas de maíz,Opcional,Opcional,1,Semillas o vástago primario de maíz
c_clave_prod_serv_10151514,10151514,Semillas o plántulas de melón,Opcional,Opcional,1,Semillas o vástago primario de melón
c_clave_prod_serv_10151515,10151515,Semillas o plántulas cebolla,Opcional,Opcional,1,Semillas o vástago primario de cebolla
c_clave_prod_serv_10151516,10151516,Semillas o plántulas de soya,Opcional,Opcional,1,Semillas o vástago primario de soya
c_clave_prod_serv_10151517,10151517,Semillas o plántulas de espinaca,Opcional,Opcional,1,Semillas o vástago primario de espinaca
c_clave_prod_serv_10151518,10151518,Semillas o plántulas de tomate,Opcional,Opcional,1,Semillas o vástago primario de tomate
c_clave_prod_serv_10151519,10151519,Semillas o plántulas de nabo,Opcional,Opcional,1,Semillas o vástago primario de nabo
c_clave_prod_serv_10151520,10151520,Semillas o plántulas de acelga,Opcional,Opcional,1,Semillas o vástago primario de acelga
c_clave_prod_serv_10151521,10151521,Semillas o plántulas de pimiento morrón,Opcional,Opcional,1,Semillas o vástago primario de pimiento morrón
c_clave_prod_serv_10151522,10151522,Semillas o plántulas de remolacha,Opcional,Opcional,1,Semillas o vástago primario de betabel
c_clave_prod_serv_10151523,10151523,Semillas o plántulas de coliflor,Opcional,Opcional,1,Semillas o vástago primario de coliflor
c_clave_prod_serv_10151524,10151524,Semillas o plántulas de perejil,Opcional,Opcional,1,Semillas o vástago primario de perejil
c_clave_prod_serv_10151525,10151525,Semillas o plántulas de brócoli,Opcional,Opcional,1,Semillas o vástago primario de brócoli
c_clave_prod_serv_10151526,10151526,Semillas o plántulas de repollo,Opcional,Opcional,1,Semillas o vástago primario de col
c_clave_prod_serv_10151527,10151527,Semillas o plántulas de papa,Opcional,Opcional,1,Semillas o vástago primario de patata
c_clave_prod_serv_10151528,10151528,Semillas o plántulas de batata,Opcional,Opcional,1,Semillas o vástago primario de camote
c_clave_prod_serv_10151529,10151529,Semillas o plántulas de calabaza,Opcional,Opcional,1,Semillas o vástago primario de calabaza
c_clave_prod_serv_10151530,10151530,Semillas o plántulas de rábano,Opcional,Opcional,1,"Semillas o vástago primario de rabanito, Semillas o vástago primario de rábano"
c_clave_prod_serv_10151531,10151531,Semillas o plántulas de repollitos de bruselas,Opcional,Opcional,1,Semillas o vástago primario de col de Bruselas
c_clave_prod_serv_10151532,10151532,Semillas o plántulas de ahuyama,Opcional,Opcional,1,Semillas o vástago primario de calabaza de castilla
c_clave_prod_serv_10151533,10151533,Semillas o plántulas de okra,Opcional,Opcional,1,Semillas o vástago primario de okra
c_clave_prod_serv_10151534,10151534,Semillas o plántulas de melón cantalupo,Opcional,Opcional,1,Semillas o vástago primario de melón cantalupo
c_clave_prod_serv_10151535,10151535,Semillas o plántulas de maní,Opcional,Opcional,1,Semillas o vástago primario de cacahuate
c_clave_prod_serv_10151536,10151536,Semillas o plántulas de caigua,Opcional,Opcional,1,Semillas o vástago primario de caigua
c_clave_prod_serv_10151537,10151537,Semillas o plántulas de espárrago,Opcional,Opcional,1,Semillas o vástago primario de espárrago
c_clave_prod_serv_10151538,10151538,Semillas o plántulas de garbanzo,Opcional,Opcional,1,Semillas o vástago primario de garbanzo
c_clave_prod_serv_10151539,10151539,Semillas o plántulas de haba,Opcional,Opcional,1,Semillas o vástago primario de haba
c_clave_prod_serv_10151600,10151600,Semillas de cereales,Opcional,Opcional,1,
c_clave_prod_serv_10151601,10151601,Semillas de trigo,Opcional,Opcional,1,
c_clave_prod_serv_10151602,10151602,Semillas de canola,Opcional,Opcional,1,Semillas de colza
c_clave_prod_serv_10151603,10151603,Semillas de cebada,Opcional,Opcional,1,
c_clave_prod_serv_10151604,10151604,Semillas de mijo,Opcional,Opcional,1,
c_clave_prod_serv_10151605,10151605,Semillas de avena,Opcional,Opcional,1,
c_clave_prod_serv_10151606,10151606,Semillas de ajonjolí,Opcional,Opcional,1,Semillas de sésamo
c_clave_prod_serv_10151607,10151607,Semillas de linaza,Opcional,Opcional,1,Semillas de lino
c_clave_prod_serv_10151608,10151608,Semillas de aceite de ricino,Opcional,Opcional,1,Semillas de ricino
c_clave_prod_serv_10151609,10151609,Semillas de maíz,Opcional,Opcional,1,
c_clave_prod_serv_10151610,10151610,Semillas de centeno,Opcional,Opcional,1,
c_clave_prod_serv_10151611,10151611,Semillas de sorgo,Opcional,Opcional,1,
c_clave_prod_serv_10151612,10151612,Semillas o plántulas de kiwicha,Opcional,Opcional,1,Semillas o vástagos de amaranto
c_clave_prod_serv_10151613,10151613,Semillas o plántulas de quínoa,Opcional,Opcional,1,Semillas o vástagos de quinua
c_clave_prod_serv_10151700,10151700,Semillas y plántulas de hierba y forraje,Opcional,Opcional,1,Semillas y vástagos de hierba y forraje
c_clave_prod_serv_10151701,10151701,Semillas o plántulas de arroz,Opcional,Opcional,1,
c_clave_prod_serv_10151702,10151702,Semillas o plántulas de trébol,Opcional,Opcional,1,
c_clave_prod_serv_10151703,10151703,Semillas o plántulas de alfalfa,Opcional,Opcional,1,
c_clave_prod_serv_10151704,10151704,Semillas o plántulas de pasto,Opcional,Opcional,1,Semillas o vástagos para césped
c_clave_prod_serv_10151705,10151705,Semillas o plántulas de veza (gachas / guija),Opcional,Opcional,1,
c_clave_prod_serv_10151706,10151706,Semillas o plántulas de guar,Opcional,Opcional,1,
c_clave_prod_serv_10151800,10151800,Semillas y plántulas de especias,Opcional,Opcional,1,Semillas y vástagos de especias
c_clave_prod_serv_10151801,10151801,Semillas o plántulas de pimienta,Opcional,Opcional,1,
c_clave_prod_serv_10151802,10151802,Semillas o plántulas de vainilla,Opcional,Opcional,1,
c_clave_prod_serv_10151803,10151803,Semillas o plántulas de canela,Opcional,Opcional,1,
c_clave_prod_serv_10151804,10151804,Semillas o plántulas de clavo de olor,Opcional,Opcional,1,
c_clave_prod_serv_10151805,10151805,Semillas o plántulas de cilantro,Opcional,Opcional,1,
c_clave_prod_serv_10151806,10151806,Semillas o plántulas de jengibre,Opcional,Opcional,1,
c_clave_prod_serv_10151807,10151807,Semillas o plántulas de azafrán,Opcional,Opcional,1,
c_clave_prod_serv_10151808,10151808,Semillas o plántulas de tomillo,Opcional,Opcional,1,
c_clave_prod_serv_10151809,10151809,Semillas o plántulas de curry,Opcional,Opcional,1,Semillas o vástagos de curri
c_clave_prod_serv_10151810,10151810,Semillas o plántulas de mostaza,Opcional,Opcional,1,
c_clave_prod_serv_10151811,10151811,Semillas o plántulas de ginseng,Opcional,Opcional,1,
c_clave_prod_serv_10151812,10151812,Semillas o plántulas de champiñones,Opcional,Opcional,1,
c_clave_prod_serv_10151813,10151813,Semillas o plántulas de sacha inchi,Opcional,Opcional,1,
c_clave_prod_serv_10151814,10151814,Semillas o plántulas de achiote,Opcional,Opcional,1,
c_clave_prod_serv_10151815,10151815,Semillas o plántulas de kudzu,Opcional,Opcional,1,
c_clave_prod_serv_10151816,10151816,Semillas o plántulas de albahaca,Opcional,Opcional,1,
c_clave_prod_serv_10151817,10151817,Semillas o plántulas de anís,Opcional,Opcional,1,Semillas o vástago de badiana
c_clave_prod_serv_10151900,10151900,"Semillas, bulbos, plántulas y esquejes de flores",Opcional,Opcional,1,"Semillas, bulbos, vástagos y codos de flores"
c_clave_prod_serv_10151901,10151901,"Semillas, bulbos, plántulas o esquejes de tulipán",Opcional,Opcional,1,
c_clave_prod_serv_10151902,10151902,"Semillas, plántulas o esquejes de rosa",Opcional,Opcional,1,
c_clave_prod_serv_10151903,10151903,"Semillas, bulbos, plántulas o esquejes de narciso",Opcional,Opcional,1,
c_clave_prod_serv_10151904,10151904,Semillas de girasol,Opcional,Opcional,1,"Semillas de acahual, Semillas de mirasol"
c_clave_prod_serv_10151905,10151905,Bulbos o tallos de jacinto,Opcional,Opcional,1,
c_clave_prod_serv_10151906,10151906,Bulbos de lirio,Opcional,Opcional,1,
c_clave_prod_serv_10151907,10151907,Semillas o plántulas de veza,Opcional,Opcional,1,
c_clave_prod_serv_10152000,10152000,Semillas y esquejes de árboles y arbustos,Opcional,Opcional,1,
c_clave_prod_serv_10152001,10152001,Semillas o esquejes de árboles frutales,Opcional,Opcional,1,
c_clave_prod_serv_10152002,10152002,Semillas o esquejes de coníferas,Opcional,Opcional,1,
c_clave_prod_serv_10152003,10152003,Semillas o esquejes de árboles de frutos secos,Opcional,Opcional,1,
c_clave_prod_serv_10152004,10152004,Plántulas de latifoliados,Opcional,Opcional,1,
c_clave_prod_serv_10152005,10152005,Plántulas de coníferas,Opcional,Opcional,1,
c_clave_prod_serv_10152006,10152006,Semillas o yemas de pino,Opcional,Opcional,1,
c_clave_prod_serv_10152007,10152007,Semillas o yemas de algarrobo,Opcional,Opcional,1,
c_clave_prod_serv_10152100,10152100,Residuos que no sean de piensos,Opcional,Opcional,1,Residuos que no sean alimento
c_clave_prod_serv_10152101,10152101,Extracción de los residuos de semilla de babool,Opcional,Opcional,1,
c_clave_prod_serv_10152102,10152102,Residuos de semilla de colza,Opcional,Opcional,1,
c_clave_prod_serv_10152103,10152103,Residuo de semillas de linaza,Opcional,Opcional,1,
c_clave_prod_serv_10152104,10152104,Torta de neem,Opcional,Opcional,1,
c_clave_prod_serv_10152200,10152200,Semillas de cultivos fibrosos y semilleros,Opcional,Opcional,1,
c_clave_prod_serv_10152201,10152201,Semillas o plántulas de algodón,Opcional,Opcional,1,
c_clave_prod_serv_10152202,10152202,Semillas o plántulas de lino,Opcional,Opcional,1,Semillas o vástago de linaza
c_clave_prod_serv_10152300,10152300,Plántulas y semillas de leguminosas,Opcional,Opcional,1,
c_clave_prod_serv_10152400,10152400,Plántulas y semillas de tubérculos,Opcional,Opcional,1,
c_clave_prod_serv_10161500,10161500,Árboles y arbustos,Opcional,Opcional,1,
c_clave_prod_serv_10161501,10161501,Aceitunos,Opcional,Opcional,1,
c_clave_prod_serv_10161502,10161502,Cafetos,Opcional,Opcional,1,
c_clave_prod_serv_10161503,10161503,Cacaoteros,Opcional,Opcional,1,Cocoa
c_clave_prod_serv_10161504,10161504,Manzanos,Opcional,Opcional,1,
c_clave_prod_serv_10161505,10161505,Peros,Opcional,Opcional,1,
c_clave_prod_serv_10161506,10161506,Naranjos,Opcional,Opcional,1,
c_clave_prod_serv_10161507,10161507,Rododendros,Opcional,Opcional,1,Azaleas
c_clave_prod_serv_10161508,10161508,Plantas de te,Opcional,Opcional,1,
c_clave_prod_serv_10161509,10161509,Coníferas,Opcional,Opcional,1,
c_clave_prod_serv_10161510,10161510,Abetos rojos (píceas),Opcional,Opcional,1,Abetos falsos
c_clave_prod_serv_10161511,10161511,Pinos,Opcional,Opcional,1,
c_clave_prod_serv_10161512,10161512,Abetos,Opcional,Opcional,1,
c_clave_prod_serv_10161513,10161513,Palmeras,Opcional,Opcional,1,
c_clave_prod_serv_10161514,10161514,Casuarina,Opcional,Opcional,1,Roble hembra
c_clave_prod_serv_10161515,10161515,Ciprés,Opcional,Opcional,1,
c_clave_prod_serv_10161516,10161516,Eucalipto,Opcional,Opcional,1,
c_clave_prod_serv_10161517,10161517,Árbol de quinua,Opcional,Opcional,1,Árbol de quina
c_clave_prod_serv_10161518,10161518,Magnolio,Opcional,Opcional,1,
c_clave_prod_serv_10161519,10161519,Mioporo,Opcional,Opcional,1,Siempreverde
c_clave_prod_serv_10161520,10161520,Acalifa,Opcional,Opcional,1,Cola de zorro roja
c_clave_prod_serv_10161521,10161521,Tecomaria capensis o madreselva del cabo,Opcional,Opcional,1,Bignonia roja
c_clave_prod_serv_10161522,10161522,Arbusto croton bolaina,Opcional,Opcional,1,Croton variegado
c_clave_prod_serv_10161523,10161523,Abutillón,Opcional,Opcional,1,Malva
c_clave_prod_serv_10161524,10161524,Ficus,Opcional,Opcional,1,Higuera
c_clave_prod_serv_10161525,10161525,Lúcumo,Opcional,Opcional,1,
c_clave_prod_serv_10161526,10161526,Aguacatal,Opcional,Opcional,1,
c_clave_prod_serv_10161527,10161527,Guanábano,Opcional,Opcional,1,
c_clave_prod_serv_10161528,10161528,Carambolo,Opcional,Opcional,1,Membrillo torombolo
c_clave_prod_serv_10161529,10161529,Ciruelo,Opcional,Opcional,1,
c_clave_prod_serv_10161530,10161530,Árbol de quince,Opcional,Opcional,1,Árbol de membrillo
c_clave_prod_serv_10161600,10161600,Plantas florales,Opcional,Opcional,1,"Agave, Caña de azúcar, Maguey"
c_clave_prod_serv_10161602,10161602,Poinsettias,Opcional,Opcional,1,Nochebuena
c_clave_prod_serv_10161604,10161604,Azaleas,Opcional,Opcional,1,
c_clave_prod_serv_10161605,10161605,Cactos,Opcional,Opcional,1,"Cactus, Nopal"
c_clave_prod_serv_10161606,10161606,Ageratum púrpura,Opcional,Opcional,1,Agérato mexicano
c_clave_prod_serv_10161800,10161800,Plantas sin flor,Opcional,Opcional,1,
c_clave_prod_serv_10161801,10161801,Helechos,Opcional,Opcional,1,
c_clave_prod_serv_10161802,10161802,Hiedras,Opcional,Opcional,1,
c_clave_prod_serv_10161803,10161803,Filodendros,Opcional,Opcional,1,Trepadora
c_clave_prod_serv_10161804,10161804,Líquenes,Opcional,Opcional,1,
c_clave_prod_serv_10161805,10161805,Vides,Opcional,Opcional,1,"Parra, Vid"
c_clave_prod_serv_10161900,10161900,Productos florales secos,Opcional,Opcional,1,
c_clave_prod_serv_10161901,10161901,Vainas secas,Opcional,Opcional,1,
c_clave_prod_serv_10161902,10161902,Follaje seco,Opcional,Opcional,1,
c_clave_prod_serv_10161903,10161903,Helechos secos,Opcional,Opcional,1,
c_clave_prod_serv_10161905,10161905,Ramas y tallos secos,Opcional,Opcional,1,
c_clave_prod_serv_10161906,10161906,Penachos de gramíneas secos,Opcional,Opcional,1,
c_clave_prod_serv_10161907,10161907,Flores secas prensadas,Opcional,Opcional,1,
c_clave_prod_serv_10161908,10161908,Pétalos secos,Opcional,Opcional,1,
c_clave_prod_serv_10171500,10171500,Abonos orgánicos y nutrientes para plantas,Opcional,Opcional,1,
c_clave_prod_serv_10171501,10171501,Estiércol o guano,Opcional,Opcional,1,
c_clave_prod_serv_10171502,10171502,Hormonas para plantas,Opcional,Opcional,1,
c_clave_prod_serv_10171503,10171503,Harina de pescado,Opcional,Opcional,1,
c_clave_prod_serv_10171504,10171504,Abono,Opcional,Opcional,1,
c_clave_prod_serv_10171505,10171505,Nutriente foliar,Opcional,Opcional,1,
