id,code,name,city,state,active
c_aduana_530,530,"CANCUN, CANCUN, QUINTANA ROO.",Cancun,Quintana Roo,True
c_aduana_532,532,"AEROPUERTO INTERNACIONAL DE COZUMEL, COZUMEL, QUINTANA ROO.",Cozumel,Quintana Roo,True
c_aduana_533,533,"PUERTO MORELOS, BENITO JUAREZ, QUINTANA ROO.",Puerto Morelos,Benito Juarez,True
c_aduana_640,640,"QUERETARO, EL MARQUES Y COLON, QUERETARO.",Queretaro,Queretaro,True
c_aduana_647,647,"HIDALGO, ATOTONILCO DE TULA, HIDALGO.",Hidalgo,Atotonilco de Tula,True
c_aduana_650,650,"TOLUCA, TOLUCA, ESTADO DE MEXICO.",Toluca,Estado de Mexico,True
c_aduana_651,651,"SAN CAYETANO MORELOS, TOLUCA, ESTADO DE MÃXICO.",San Cayetano Morelos,Toluca,True
c_aduana_670,670,"CHIHUAHUA, CHIHUAHUA, CHIHUAHUA.",Chihuahua,Chihuahua,True
c_aduana_671,671,"PARQUE INDUSTRIAL LAS AMERICAS, CHIHUAHUA, CHIHUAHUA.",Parque Industrial Las Americas,Chihuahua,True
c_aduana_672,672,"AEROPUERTO INTERNACIONAL GENERAL ROBERTO FIERRO VILLALOBOS, CHIHUAHUA, CHIHUAHUA.",Chihuahua,Chihuahua,True
c_aduana_730,730,"AGUASCALIENTES, AGUASCALIENTES, AGUASCALIENTES.",Aguascalientes,Aguascalientes,True
c_aduana_731,731,"PARQUE MULTIMODAL INTERPUERTO, SAN LUIS POTOSI, SAN LUIS POTOSI.",Parque Multimodal Interpuerto,San Luis Potosi,True
c_aduana_733,733,"AEROPUERTO INTERNACIONAL PONCIANO ARRIAGA, SOLEDAD DE GRACIANO SANCHEZ, SAN LUIS POTOSI.",Soledad de Graciano Sanchez,San Luis Potosi,True
c_aduana_732,732,"AEROPUERTO INTERNACIONAL GENERAL LEOBARDO C. RUIZ, EN CALERA ZACATECAS.",En Calera Zacatecas,,True
c_aduana_734,734,"LA PILA-VILLA, VILLA DE REYES, SAN LUIS POTOSI.",La Pila-Villa,Villa de Reyes,True
c_aduana_73,73,"CHICALOTE, SAN FRANCISCO DE LOS ROMO, AGUASCALIENTES.",Chicalote,San Francisco de los Romo,True
c_aduana_735,735,"AEROPUERTO INTERNACIONAL LIC. JESUS TERAN PEREDO, AGUASCALIENTES, AGUASCALIENTES.",Aguascalientes,Aguascalientes,True
c_aduana_750,750,"PUEBLA, HEROICA PUEBLA DE ZARAGOZA, PUEBLA.",Puebla,Heroica Puebla de Zaragoza,True
c_aduana_751,751,"CUERNAVACA, JIUTEPEC, MORELOS.",Cuernavaca,Jiutepec,True
c_aduana_754,754,"AEROPUERTO INTERNACIONAL HERMANOS SERDAN, HUEJOTZINGO, PUEBLA.",Huejotzingo,Puebla,True
c_aduana_800,800,"COLOMBIA, COLOMBIA, NUEVO LEON.",Colombia,Nuevo Leon,True
c_aduana_810,810,"ALTAMIRA, ALTAMIRA, TAMAULIPAS.",Altamira,Tamaulipas,True
c_aduana_820,820,"CIUDAD CAMARGO, CIUDAD CAMARGO, TAMAULIPAS.",Ciudad Camargo,Tamaulipas,True
c_aduana_830,830,"DOS BOCAS, PARAISO, TABASCO.",Dos Bocas,Paraiso,True
c_aduana_831,831,"AEROPUERTO INTERNACIONAL C.P.A. CARLOS ROVIROSA PEREZ, CIUDAD DE VILLAHERMOSA, CENTRO, TABASCO.",Ciudad de Villahermosa,Centro,True
c_aduana_834,834,"EL CEIBO, TENOSIQUE, TABASCO.",El Ceibo,Tenosique,True
c_aduana_840,840,"GUANAJUATO, SILAO, GUANAJUATO.",Guanajuato,Silao,True
c_aduana_841,841,"CELAYA, CELAYA, GUANAJUATO.",Celaya,Guanajuato,True
c_aduana_842,842,"AEROPUERTO INTERNACIONAL DE GUANAJUATO, SILAO, GUANAJUATO.",Guanajuato,Silao,True
